AwayScore,CompType,Date,GameDes,GameID,Home,HomeScore,OU,Spread,Visitor,away3PA,away3PM,away3PP,awayAST,awayBLK,awayDREB,awayFGA,awayFGM,awayFGP,awayFTA,awayFTM,awayFTP,awayLARGESTLEAD,awayMin,awayOREB,awayPF,awayPTS,awayPTS2NDCHANCE,awayPTSFB,awayPTSOFFTOV,awayPTSPAINT,awayREB,awaySTL,awayTOV,awayTeam,home3PA,home3PM,home3PP,homeAST,homeBLK,homeDREB,homeFGA,homeFGM,homeFGP,homeFTA,homeFTM,homeFTP,homeLARGESTLEAD,homeMin,homeOREB,homePF,homePTS,homePTS2NDCHANCE,homePTSFB,homePTSOFFTOV,homePTSPAINT,homeREB,homeSTL,homeTOV,homeTeam,season
79.0,Regular Season,2011-12-27,Sacramento at Portland,21100021,Portland,101.0,196.5,-8.5,Sacramento,16.0,3.0,0.188,11.0,4.0,28.0,82.0,31.0,0.378,22.0,14.0,0.636,25.0,240:00,14.0,27.0,79.0,18.0,17.0,4.0,52.0,42.0,1.0,18.0,Sacramento,18.0,3.0,0.167,25.0,8.0,29.0,85.0,38.0,0.447,28.0,22.0,0.786,12.0,240:00,15.0,23.0,101.0,16.0,7.0,25.0,42.0,44.0,6.0,10.0,Portland,2011-12
71.0,Regular Season,2011-12-27,Utah at L.A. Lakers,21100022,L.A. Lakers,96.0,188.5,-5.5,Utah,13.0,1.0,0.077,20.0,6.0,28.0,90.0,29.0,0.322,17.0,12.0,0.706,29.0,240:00,18.0,28.0,71.0,7.0,16.0,17.0,32.0,46.0,6.0,10.0,Utah,16.0,6.0,0.375,17.0,9.0,35.0,71.0,30.0,0.423,37.0,30.0,0.811,5.0,240:00,11.0,21.0,96.0,14.0,16.0,11.0,36.0,46.0,8.0,9.0,L.A. Lakers,2011-12
90.0,Regular Season,2011-12-28,Indiana at Toronto,21100023,Toronto,85.0,193.5,4.0,Indiana,16.0,7.0,0.438,20.0,2.0,29.0,81.0,32.0,0.395,22.0,19.0,0.864,2.0,240:00,12.0,16.0,90.0,12.0,10.0,16.0,32.0,41.0,10.0,16.0,Indiana,15.0,6.0,0.4,21.0,5.0,29.0,79.0,36.0,0.456,13.0,7.0,0.538,14.0,240:00,10.0,25.0,85.0,22.0,9.0,13.0,34.0,39.0,13.0,19.0,Toronto,2011-12
96.0,Regular Season,2011-12-28,Miami at Charlotte,21100024,Charlotte,95.0,194.0,11.0,Miami,6.0,1.0,0.167,19.0,10.0,25.0,78.0,36.0,0.462,28.0,23.0,0.821,4.0,240:00,5.0,17.0,96.0,6.0,20.0,12.0,52.0,30.0,7.0,10.0,Miami,18.0,7.0,0.389,22.0,9.0,38.0,82.0,39.0,0.476,16.0,10.0,0.625,16.0,240:00,15.0,22.0,95.0,12.0,21.0,27.0,36.0,53.0,5.0,21.0,Charlotte,2011-12
83.0,Regular Season,2011-12-28,Washington at Atlanta,21100025,Atlanta,101.0,185.5,-8.5,Washington,16.0,6.0,0.375,16.0,3.0,26.0,77.0,30.0,0.39,22.0,17.0,0.773,23.0,240:00,6.0,24.0,83.0,20.0,17.0,14.0,36.0,32.0,10.0,16.0,Washington,23.0,9.0,0.391,21.0,5.0,34.0,75.0,32.0,0.427,35.0,28.0,0.8,0.0,240:00,11.0,21.0,101.0,13.0,12.0,18.0,30.0,45.0,6.0,14.0,Atlanta,2011-12
105.0,Regular Season,2011-12-28,Cleveland at Detroit,21100026,Detroit,89.0,186.5,-5.5,Cleveland,12.0,7.0,0.583,28.0,3.0,28.0,70.0,40.0,0.571,22.0,18.0,0.818,19.0,240:00,12.0,15.0,105.0,15.0,13.0,18.0,52.0,40.0,9.0,21.0,Cleveland,21.0,9.0,0.429,16.0,1.0,16.0,81.0,36.0,0.444,11.0,8.0,0.727,4.0,240:00,10.0,21.0,89.0,12.0,5.0,21.0,36.0,26.0,11.0,16.0,Detroit,2011-12
98.0,Regular Season,2011-12-28,Oklahoma City at Memphis,21100027,Memphis,95.0,191.5,1.0,Oklahoma City,25.0,10.0,0.4,16.0,8.0,29.0,77.0,29.0,0.377,38.0,30.0,0.789,1.0,240:00,12.0,24.0,98.0,23.0,15.0,9.0,44.0,41.0,4.0,10.0,Oklahoma City,16.0,2.0,0.125,13.0,6.0,30.0,87.0,34.0,0.391,33.0,25.0,0.758,12.0,240:00,19.0,22.0,95.0,14.0,6.0,10.0,26.0,49.0,5.0,12.0,Memphis,2011-12
78.0,Regular Season,2011-12-28,Boston at New Orleans,21100028,New Orleans,97.0,174.5,4.5,Boston,17.0,7.0,0.412,16.0,12.0,24.0,78.0,29.0,0.372,18.0,13.0,0.722,7.0,240:00,13.0,22.0,78.0,11.0,10.0,13.0,24.0,37.0,4.0,12.0,Boston,12.0,4.0,0.333,16.0,12.0,36.0,79.0,36.0,0.456,25.0,21.0,0.84,21.0,240:00,12.0,20.0,97.0,21.0,7.0,13.0,46.0,48.0,7.0,9.0,New Orleans,2011-12
90.0,Regular Season,2011-12-28,L.A. Clippers at San Antonio,21100029,San Antonio,115.0,198.5,-4.5,L.A. Clippers,20.0,7.0,0.35,17.0,5.0,20.0,74.0,29.0,0.392,33.0,25.0,0.758,27.0,240:00,10.0,17.0,90.0,10.0,20.0,17.0,48.0,30.0,8.0,12.0,L.A. Clippers,19.0,10.0,0.526,27.0,1.0,36.0,80.0,45.0,0.563,15.0,15.0,1.0,5.0,240:00,7.0,23.0,115.0,5.0,14.0,16.0,26.0,43.0,3.0,15.0,San Antonio,2011-12
100.0,Regular Season,2011-12-28,Utah at Denver,21100030,Denver,117.0,201.0,-12.5,Utah,16.0,7.0,0.438,25.0,3.0,31.0,79.0,38.0,0.481,25.0,17.0,0.68,27.0,240:00,8.0,23.0,100.0,6.0,27.0,24.0,68.0,39.0,10.0,22.0,Utah,19.0,6.0,0.316,29.0,3.0,33.0,86.0,46.0,0.535,26.0,19.0,0.731,5.0,240:00,12.0,20.0,117.0,14.0,17.0,28.0,42.0,45.0,17.0,18.0,Denver,2011-12
